ticker,date,period_ending,estimate,reported,surprise,surprise%
MAN,2021-04-20,2021-03,0.66,1.11,0.45,68.18
VMC,2021-05-04,2021-03,0.41,0.69,0.28,68.29
COF,2021-04-27,2021-03,4.17,7.03,2.86,68.59
TPR,2021-05-06,2021-03,0.3,0.51,0.21,70
MAT,2021-04-22,2021-03,-0.34,-0.1,0.24,70.59
USFD,2021-05-10,2021-03,0.07,0.12,0.05,71.43
FL,2021-05-21,2021-04,1.14,1.96,0.82,71.93
MPC,2021-05-04,2021-03,-0.72,-0.2,0.52,72.22
PTON,2021-05-06,2021-03,-0.11,-0.03,0.08,72.73
YETI,2021-05-13,2021-03,0.22,0.38,0.16,72.73
NYT,2021-05-05,2021-03,0.15,0.26,0.11,73.33
NVST,2021-05-05,2021-03,0.31,0.54,0.23,74.19
BILL,2021-05-06,2021-03,-0.08,-0.02,0.06,75
BMRN,2021-04-29,2021-03,0.32,0.56,0.24,75
DFS,2021-04-21,2021-03,2.88,5.04,2.16,75
TTD,2021-05-10,2021-03,0.08,0.14,0.06,75
VRT,2021-04-28,2021-03,0.12,0.21,0.09,75
LII,2021-04-26,2021-03,1.29,2.27,0.98,75.97
CMA,2021-04-20,2021-03,1.38,2.43,1.05,76.09
ATH,2021-05-07,2021-03,2.15,3.8,1.65,76.74
FIVN,2021-04-29,2021-03,0.13,0.23,0.1,76.92
SLM,2021-04-21,2021-03,1,1.77,0.77,77
ALLY,2021-04-16,2021-03,1.18,2.09,0.91,77.12
WTFC,2021-04-19,2021-03,1.41,2.54,1.13,80.14
AGCO,2021-04-29,2021-03,1.11,2,0.89,80.18
EXAS,2021-05-04,2021-03,-1.04,-0.18,0.86,82.69
PENN,2021-05-06,2021-03,0.3,0.55,0.25,83.33
SPB,2021-05-07,2021-03,0.96,1.76,0.8,83.33
ZG,2021-05-04,2021-03,0.24,0.44,0.2,83.33
HES,2021-04-28,2021-03,0.44,0.82,0.38,86.36
R,2021-04-28,2021-03,0.58,1.09,0.51,87.93
GS,2021-04-14,2021-03,9.79,18.6,8.81,89.99
IT,2021-05-04,2021-03,1.05,2,0.95,90.48
SAM,2021-04-22,2021-03,2.39,4.58,2.19,91.63
OPEN,2021-05-11,2021-03,-0.48,-0.04,0.44,91.67
ADS,2021-04-29,2021-03,3.23,6.28,3.05,94.43
FSLR,2021-04-29,2021-03,1,1.96,0.96,96
JEF,2021-03-24,2021-02,1.08,2.14,1.06,98.15
ATUS,2021-04-28,2021-03,0.29,0.58,0.29,100
DDOG,2021-05-06,2021-03,0.03,0.06,0.03,100
BHF,2021-05-10,2021-03,2.42,4.86,2.44,100.83
POOL,2021-04-22,2021-03,1.2,2.42,1.22,101.67
BG,2021-05-04,2021-03,1.55,3.13,1.58,101.94
DECK,2021-05-20,2021-03,0.58,1.18,0.6,103.45
LNG,2021-05-04,2021-03,0.75,1.54,0.79,105.33
MLM,2021-05-04,2021-03,0.5,1.04,0.54,108
TAP,2021-04-29,2021-03,-0.12,0.01,0.13,108.33
BIO,2021-04-29,2021-03,2.5,5.21,2.71,108.4
Y,2021-05-06,2021-03,4.65,9.81,5.16,110.97
BYD,2021-04-27,2021-03,0.44,0.93,0.49,111.36
TTWO,2021-05-18,2021-03,0.68,1.44,0.76,111.76
HOG,2021-04-19,2021-03,0.79,1.68,0.89,112.66
ULTA,2021-05-27,2021-04,1.92,4.1,2.18,113.54
NWL,2021-04-30,2021-03,0.14,0.3,0.16,114.29
ZS,2021-05-25,2021-04,0.07,0.15,0.08,114.29
CSL,2021-04-22,2021-03,0.68,1.47,0.79,116.18
GM,2021-05-05,2021-03,1.02,2.25,1.23,120.59
THG,2021-04-29,2021-03,0.75,1.66,0.91,121.33
WWE,2021-04-22,2021-03,0.23,0.51,0.28,121.74
TDOC,2021-04-28,2021-03,-0.57,0.13,0.7,122.81
TNL,2021-04-28,2021-03,0.17,0.39,0.22,129.41
BFAM,2021-05-05,2021-03,0.1,0.23,0.13,130
DCT,2021-04-05,2021-02,-0.03,0.01,0.04,133.33
